index,words,jyutping,meanings,note,category_1,category_2,category_3
32,發瘟雞,faat3 wan1 gai1,【喻】【謔】對人笑駡的稱呼。,,一、人物,一A泛稱,一A3詈稱、貶稱
33,龜蛋,gwai1 daan6-2,【喻】【詈】王八蛋，用作罵人的稱呼。,,一、人物,一A泛稱,一A3詈稱、貶稱
34,契弟,kai3 dai6,【詈】【昵】本義是乾弟弟，指孌童，常用於辱駡人的稱呼，有時也用於親昵的稱呼（衹用於男性）。,,一、人物,一A泛稱,一A3詈稱、貶稱
35,死鏟,sei2 caan2,【詈】辱駡人的稱呼。,,一、人物,一A泛稱,一A3詈稱、貶稱
36,死人,sei2 jan4,【詈】加在人名或稱呼之前，作輕微的或帶笑駡意味的罵人話（婦女多用）。～老楊，而家先嚟！（死你個老楊，現在才來！）,,一、人物,一A泛稱,一A3詈稱、貶稱
37,死人頭,sei2 jan4 tau4,【詈】輕微的罵人的稱呼（婦女多用）。嗰個～去咗邊？（那個傢伙哪裡去了？）,,一、人物,一A泛稱,一A3詈稱、貶稱
38,衰神,seoi1 san4,【詈】輕微罵人的稱呼（衰：壞）。,,一、人物,一A泛稱,一A3詈稱、貶稱
39,衰人,seoi1 jan4,同“衰神”。,,一、人物,一A泛稱,一A3詈稱、貶稱
40,衰鬼豆,seoi1 gwai2 dau6-2,【詈】【謔】輕微罵人的稱呼，又作開玩笑的稱呼。,,一、人物,一A泛稱,一A3詈稱、貶稱
41,老階,lou5 gaai1,【謔】本指“階級敵人”，後作罵人話，帶開玩笑的口吻。,,一、人物,一A泛稱,一A3詈稱、貶稱
42,*騎喱𧊅,ke4 le4 gwaai2,【喻】【貶】本指一種外貌奇特的樹蛙，轉用作對人的貶稱。,[重見一D2、二D8],一、人物,一A泛稱,一A3詈稱、貶稱
43,*嘢,je5,【貶】【謔】本指東西，指人時帶輕視或玩笑的口吻。我哋車間有個～好衰嘅。（我們車間有個傢伙很壞的。）│你個～咁抵死嘅！（你這傢伙這麼該死！）,[重見八A1、八A8、十F2],一、人物,一A泛稱,一A3詈稱、貶稱
44,*仔（崽）,zai2,詞尾，用於：①年紀較小的男性。司機～（年輕的男司機）│叻～（能幹的小伙子）②年紀較小的人，不分性別。保姆～（小保姆）│學生～（年紀小小的學生）③用在姓或名後，指稱年輕或年幼男性，帶親切口吻。何～（對某個姓何的小伙子的親切稱呼）│祥～（對某個以“祥”為名字的小男孩或小伙子的親切稱呼）,[“崽”字另有書面語音zoi2。重見一C4、八A8、二D1],一、人物,一B男女老少,一B1孩子、男孩子、青少年
45,BB,bi4 bi1,【昵】【外】嬰兒。,[英語baby。又作“BB仔”],一、人物,一B男女老少,一B1孩子、男孩子、青少年
46,伢伢,ngaa4 ngaa4-1,【昵】嬰兒。,[又作“伢伢仔”],一、人物,一B男女老少,一B1孩子、男孩子、青少年
47,臊蝦（蘇孲）仔,sou1 haa1 zai2,①嬰兒。②小孩（一般指較小的小孩）。,[又作“臊蝦”],一、人物,一B男女老少,一B1孩子、男孩子、青少年
48,阿臊,aa3 sou1,一般小孩的乳名。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
49,細蚊仔,sai3 man1 zai2,小孩子。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
50,*細路,sai3 lou6,小孩子。,[重見一C4],一、人物,一B男女老少,一B1孩子、男孩子、青少年
51,細路仔,sai3 lou6 zai2,小男孩。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
52,豬,zyu1,【昵】詞尾，用於小孩。論盡～（麻煩的孩子）│爛玩～（貪玩的小孩）。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
53,乖豬,gwaai1 zyu1,【昵】乖孩子。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
54,曳豬,jai5 zyu1,【昵】淘氣的孩子（曳：淘氣，不聽話）。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
55,化骨龍,faa3 gwat1 lung4,【喻】【謔】小孩子。原指一種傳說中的動物，人如誤食之，會化為血水，喻孩子使父母嘔心瀝血。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
56,塞竇窿,sak1 dau6 lung1,【謔】小孩子。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
57,男仔,naam4 zai2,男孩子（視情況的不同，可以指嬰幼兒，也可以指青少年，指青少年時略帶親切口吻）。表姐琴日生咗個BB，係個～。（表姐昨天生了個孩子，是個男孩。）│秀珍識咗個～，幾淳品下㗎。（秀珍認識了一個男孩子，挺淳厚的。）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
58,男仔頭,naam4 zai2 tau4,男孩子（與女孩子相對而言）。成班女仔中間有個～。（成群女孩子當中有一個男孩子。）│我個女調皮到死，成個～噉。（我的女兒調皮得要死，整個兒像個男孩子。）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
59,後生,hau6 saang1,年輕人，特指青年男子。,[重見二C2],一、人物,一B男女老少,一B1孩子、男孩子、青少年
60,後生仔,hau6 saang1 zai2,青年男子。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
61,後生細仔,hau6 saang1 sai3 zai2,年輕人（與成年人相對而言；指男性）。～邊處學到咁焦即！（年紀輕輕的哪兒學來的那麼輕狂！）│我哋啲老大唔學得你哋～咁好力囉！（我們這些上年紀的人不能像你們年輕人那麼有力氣囉！）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
62,後生仔女,hau6 saang1 zai2 neoi5-2,青年男女。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
63,僆仔,leng1 zai2,男孩子，小伙子（略帶輕蔑口吻）。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
